Date,Start,Visitor,PTS,Home,PTS,,,Notes
Wed Apr 5 2017,7:30 pm,Toronto Raptors,105,Detroit Pistons,102,Box Score,,
Wed Apr 5 2017,8:00 pm,Denver Nuggets,104,Houston Rockets,110,Box Score,,
Wed Apr 5 2017,10:30 pm,Dallas Mavericks,101,Los Angeles Clippers,112,Box Score,,
Wed Apr 5 2017,8:00 pm,Oklahoma City Thunder,103,Memphis Grizzlies,100,Box Score,,
Wed Apr 5 2017,10:00 pm,Golden State Warriors,120,Phoenix Suns,111,Box Score,,
Wed Apr 5 2017,8:30 pm,Los Angeles Lakers,102,San Antonio Spurs,95,Box Score,,
Thu Apr 6 2017,8:00 pm,Boston Celtics,116,Atlanta Hawks,123,Box Score,,
Thu Apr 6 2017,7:00 pm,Milwaukee Bucks,89,Indiana Pacers,104,Box Score,,
Thu Apr 6 2017,7:30 pm,Washington Wizards,106,New York Knicks,103,Box Score,,
Thu Apr 6 2017,7:00 pm,Brooklyn Nets,107,Orlando Magic,115,Box Score,,
Thu Apr 6 2017,7:00 pm,Chicago Bulls,102,Philadelphia 76ers,90,Box Score,,
Thu Apr 6 2017,10:30 pm,Minnesota Timberwolves,98,Portland Trail Blazers,105,Box Score,,
Fri Apr 7 2017,7:30 pm,Atlanta Hawks,114,Cleveland Cavaliers,100,Box Score,,
Fri Apr 7 2017,8:30 pm,San Antonio Spurs,102,Dallas Mavericks,89,Box Score,,
Fri Apr 7 2017,9:00 pm,New Orleans Pelicans,106,Denver Nuggets,122,Box Score,,
Fri Apr 7 2017,8:00 pm,Detroit Pistons,114,Houston Rockets,109,Box Score,,
Fri Apr 7 2017,10:30 pm,Sacramento Kings,94,Los Angeles Lakers,98,Box Score,,
Fri Apr 7 2017,8:00 pm,New York Knicks,88,Memphis Grizzlies,101,Box Score,,
Fri Apr 7 2017,10:00 pm,Oklahoma City Thunder,99,Phoenix Suns,120,Box Score,,
Fri Apr 7 2017,7:30 pm,Miami Heat,94,Toronto Raptors,96,Box Score,,
Fri Apr 7 2017,9:00 pm,Minnesota Timberwolves,113,Utah Jazz,120,Box Score,,
Sat Apr 8 2017,5:00 pm,Chicago Bulls,106,Brooklyn Nets,107,Box Score,,
Sat Apr 8 2017,6:00 pm,Boston Celtics,121,Charlotte Hornets,114,Box Score,,
Sat Apr 8 2017,10:30 pm,New Orleans Pelicans,101,Golden State Warriors,123,Box Score,,
Sat Apr 8 2017,6:00 pm,Indiana Pacers,127,Orlando Magic,112,Box Score,,
Sat Apr 8 2017,7:00 pm,Milwaukee Bucks,90,Philadelphia 76ers,82,Box Score,,
Sat Apr 8 2017,10:00 pm,Utah Jazz,86,Portland Trail Blazers,101,Box Score,,
Sat Apr 8 2017,8:30 pm,Los Angeles Clippers,98,San Antonio Spurs,87,Box Score,,
Sat Apr 8 2017,7:00 pm,Miami Heat,106,Washington Wizards,103,Box Score,,
Sun Apr 9 2017,3:30 pm,Cleveland Cavaliers,125,Atlanta Hawks,126,Box Score,OT,
Sun Apr 9 2017,5:00 pm,Oklahoma City Thunder,106,Denver Nuggets,105,Box Score,,
Sun Apr 9 2017,9:30 pm,Minnesota Timberwolves,109,Los Angeles Lakers,110,Box Score,,
Sun Apr 9 2017,6:00 pm,Detroit Pistons,103,Memphis Grizzlies,90,Box Score,,
Sun Apr 9 2017,12:00 pm,Toronto Raptors,110,New York Knicks,97,Box Score,,
Sun Apr 9 2017,6:00 pm,Dallas Mavericks,111,Phoenix Suns,124,Box Score,,
Sun Apr 9 2017,6:00 pm,Houston Rockets,135,Sacramento Kings,128,Box Score,,
Mon Apr 10 2017,7:30 pm,Brooklyn Nets,105,Boston Celtics,114,Box Score,,
Mon Apr 10 2017,8:00 pm,Orlando Magic,75,Chicago Bulls,122,Box Score,,
Mon Apr 10 2017,8:00 pm,Washington Wizards,105,Detroit Pistons,101,Box Score,,
Mon Apr 10 2017,10:30 pm,Utah Jazz,105,Golden State Warriors,99,Box Score,,
Mon Apr 10 2017,10:30 pm,Houston Rockets,96,Los Angeles Clippers,125,Box Score,,
Mon Apr 10 2017,7:30 pm,Cleveland Cavaliers,121,Miami Heat,124,Box Score,OT,
Mon Apr 10 2017,8:00 pm,Charlotte Hornets,79,Milwaukee Bucks,89,Box Score,,
